1420326270|2015|01|04|00|04|30|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328553|2015|01|04|00|42|33|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328752|2015|01|04|00|45|52|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328754|2015|01|04|00|45|54|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328754|2015|01|04|00|45|54|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328754|2015|01|04|00|45|54|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328754|2015|01|04|00|45|54|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328754|2015|01|04|00|45|54|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328755|2015|01|04|00|45|55|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328755|2015|01|04|00|45|55|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328755|2015|01|04|00|45|55|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328755|2015|01|04|00|45|55|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328755|2015|01|04|00|45|55|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328756|2015|01|04|00|45|56|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328756|2015|01|04|00|45|56|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328756|2015|01|04|00|45|56|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328756|2015|01|04|00|45|56|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328756|2015|01|04|00|45|56|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328757|2015|01|04|00|45|57|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
1420328757|2015|01|04|00|45|57|Mozilla/5.0 (Windows NT 6.3; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0|::1
